,uf,valor_executado_rs,qtde_contemplados,valor_urbano,valor_rural,qtde_urbano,qtde_rural,min_valor,mediana_valor,max_valor,media_valor,sum_populacao,valor_executado_perc,perc_contemplados_populacao,valor_executado_percapita,perc_valor_urbano,perc_valor_rural,perc_qtde_urbano,perc_qtde_rural,1 milhão a 10 milhões,10 a 50 mil,2 a 10 mil,200 a 500 mil,50 a 200 mil,500 mil a 1 milhão,Acima de 10 milhões,Até 2 mil,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF,qtd_sexo_Feminino,qtd_sexo_Masculino,qtd_sexo_Não informado,valor_sexo_Feminino,valor_sexo_Masculino,valor_sexo_Não informado,total_qtd_cpf,total_valor_cpf,percentual_qtd_sexo_Feminino,percentual_qtd_sexo_Masculino,percentual_qtd_sexo_Não informado,percentual_valor_sexo_Feminino,percentual_valor_sexo_Masculino,percentual_valor_sexo_Não informado
0,AC,24329783.68,1079,21413891.94,2915891.74,891,188,429.37,10576.92,2034002.65,23993.869506903353,880631,0.008548777704146188,0.0012252577981015885,27.62767115852156,0.8801513495413044,0.11984865045869575,0.8257645968489342,0.1742354031510658,1,539,404,8,40,1,0,86,121,958,9907022.56,14422761.12,3941.42,429.37,40000.0,10000.0,2034002.65,113000.0,108868.37978021978,15625.960043336943,393,565,0,5746637.82,8676123.3,0.0,958,14422761.12,0.4102296450939457,0.5897703549060542,0.0,0.3984422796846545,0.6015577203153456,0.0
1,AL,60294994.13,6378,54805755.42,5488301.21,5231,1146,390.0,3000.0,2634948.39,10101.356027810354,3220104,0.021185905648387963,0.0019806813692973893,18.724548688489566,0.9089602911617366,0.09102416028380166,0.8201630605205393,0.17968015051740358,1,1121,2566,18,129,0,0,2543,692,5686,27201055.63,33093938.5,390.0,392.01,15000.0,2500.0,2634948.39,167500.0,53545.38509842519,6060.050997985717,2555,3131,0,13477148.68,19616789.82,0.0,5686,33093938.5,0.449349278930707,0.550650721069293,0.0,0.40723918913428814,0.5927608108657119,0.0
2,AM,74122348.91,2075,69240033.86,4137327.12,1858,206,400.0,18122.0,4055691.37,37836.8294589076,4281209,0.026044435580479128,0.00048467617441708637,17.31341518482279,0.9341316738905813,0.05581753925558375,0.895421686746988,0.09927710843373494,3,929,575,23,289,3,0,253,370,1705,30990641.580000002,43131707.33,450.0,400.0,44220.085,13750.0,4055691.37,280000.0,107606.394375,25811.91342309994,715,989,1,19263792.25,23865382.48,2532.6,1705,43131707.33,0.41935483870967744,0.580058651026393,0.0005865102639296188,0.44662716693807264,0.5533141152379233,5.8717824004116466e-05
3,AP,23633686.16,649,22227076.62,1400309.54,550,97,506.62,7938.96,1344475.68,37813.897856,802837,0.008304189300190125,0.0008083832708258338,29.437714205996983,0.9404828544105538,0.05925057693158434,0.847457627118644,0.14946070878274267,5,187,216,16,40,4,0,181,124,525,18382459.71,5251226.45,942.39,506.62,60000.0,5000.0,1344475.68,170000.0,168646.41935779818,10176.795445736434,276,249,0,2584860.81,2666365.64,0.0,525,5251226.45,0.5257142857142857,0.4742857142857143,0.0,0.4922394481769111,0.5077605518230889,0.0
4,BA,176909114.84,17500,154015727.65,22270914.95,13357,4102,400.0,3250.0,3128944.0,10636.671166426167,14850513,0.062160712832298785,0.0011784104697258606,11.912660178136607,0.8705923817961261,0.12588901917316267,0.7632571428571429,0.2344,2,2294,8920,66,438,4,0,5776,1787,15713,73220493.92,103688620.92,400.0,400.0,12311.68,3000.0,3128944.0,400000.0,50882.90056984017,6824.762780227737,7382,8329,2,48013063.36,55656909.56,18648.0,15713,103688620.92,0.46980207471520397,0.5300706421434481,0.00012728314134792846,0.4630504575525605,0.5367696962904114,0.00017984615702804738
5,CE,136622936.07,8256,122477609.21,14141626.86,6285,1969,400.0,4000.0,3581800.0,17298.4218878197,9233656,0.04800532241107891,0.0008941203787535512,14.796190812176672,0.8964644790479944,0.1035084391156285,0.7612645348837209,0.23849321705426357,6,1478,3561,55,408,9,0,2739,838,7418,60953830.41,75669105.66,500.0,400.0,15999.5,3456.2200000000003,3581800.0,440000.0,84893.91422005571,10538.8726545961,3306,4111,1,32067576.169999998,43586529.49,15000.0,7418,75669105.66,0.4456726880560798,0.5541925047182529,0.00013480722566729578,0.4237869060338515,0.5760148624703595,0.0001982314957890306
6,DF,41170700.29,393,28352080.35,613558.07,255,83,500.0,7916.67,3998363.65,120735.19146627566,2982818,0.014466185533435741,0.00013175460252687224,13.802618963007465,0.6886470268975841,0.01490278439954124,0.648854961832061,0.21119592875318066,5,39,91,1,136,23,0,98,98,295,31432000.71,9738699.58,529.0,500.0,120000.0,4375.0,3998363.65,219196.2,551438.6089473685,34291.19570422535,124,170,1,4391889.12,5239810.46,107000.0,295,9738699.58,0.42033898305084744,0.576271186440678,0.003389830508474576,0.4509728515519112,0.5380400552411331,0.010987093206955666
7,ES,55730593.34,1883,51170110.23,4545483.11,1682,198,381.84,11000.0,2917394.64,35183.45539141414,4102129,0.019582108088181328,0.00045902993299333104,13.585772982760904,0.9181691269249995,0.08156172108681878,0.893255443441317,0.1051513542219862,2,696,916,21,210,3,0,35,957,926,41454269.32,14276324.02,381.84,1000.0,20000.0,10000.0,2917394.64,220028.41,62809.49896969697,15450.567121212121,348,578,0,5506582.48,8769741.54,0.0,926,14276324.02,0.3758099352051836,0.6241900647948164,0.0,0.385714310790769,0.614285689209231,0.0
8,GO,105504440.4,4320,99878695.08,5575745.32,3909,410,400.0,5000.0,2000000.0,25300.825035971226,7350483,0.037071188944493745,0.0005877164806720864,14.353402409066181,0.9466776441003709,0.05284844219694094,0.9048611111111111,0.09490740740740741,1,890,2000,69,398,8,0,954,791,3529,42353299.5,63151140.9,460.91,400.0,14271.93,5000.0,2000000.0,735000.0,61381.59347826087,18146.879568965516,1849,1679,1,33597928.33,29499962.57,53250.0,3529,63151140.9,0.5239444601870218,0.47577217342023237,0.00028336639274582036,0.5320240909535175,0.4671326938766359,0.0008432151698465989
9,MA,114921030.05,8366,106105125.91,7334043.49,6867,1456,400.0,3000.0,7792386.6,15099.33386545789,7010960,0.04037990441470929,0.0011932745301642001,16.391625405080045,0.9232872857460087,0.06381811481161537,0.8208223762849629,0.17403777193401865,4,1201,3381,63,308,3,0,3406,902,7464,70451895.72,44469134.33,681.29,400.0,30000.0,2608.69,7792386.6,330000.0,113999.83126213592,6359.092568282568,3407,4057,0,19413690.6,25055443.73,0.0,7464,44469134.33,0.45645766345123256,0.5435423365487674,0.0,0.4365655165655662,0.5634344834344339,0.0
